tconst,primaryTitle,startYear,genres,averageRating,numVotes,actors,posterUrl
tt0082064,The Best of Times,1981,Comedy,5.1,386.0,"Crispin Glover, Nicolas Cage, Kevin Cortes, David Rambo, Jackie Mason, Marc Copage",https://image.tmdb.org/t/p/w500/yrTHWP1N7OVWQety8YYOmZa34YI.jpg
tt0086216,Rumble Fish,1983,"Crime,Drama,Romance",7.1,39616.0,"Matt Dillon, Mickey Rourke, Dennis Hopper, Vincent Spano, Nicolas Cage, Chris Penn, Laurence Fishburne, William Smith",https://image.tmdb.org/t/p/w500/nwIUWs7cexC8Wk9c6ey8nFltAZd.jpg
tt0086525,Valley Girl,1983,"Comedy,Romance",6.4,19693.0,"Nicolas Cage, Michael Bowen, Cameron Dye, Richard Sanders",https://image.tmdb.org/t/p/w500/mQSrU9jerYSIOWeLBqFA1gcUU59.jpg
tt0086969,Birdy,1984,"Drama,War",7.2,25825.0,"Matthew Modine, Nicolas Cage, John Harkins, Sandy Baron, Bruno Kirby, George Buck, Pat Ryan",https://image.tmdb.org/t/p/w500/weIn0Huxx4SQU8PB5ZggzA4PLIE.jpg
tt0087089,The Cotton Club,1984,"Crime,Drama,Music",6.6,20357.0,"Richard Gere, Gregory Hines, Bob Hoskins, James Remar, Nicolas Cage, Allen Garfield, Fred Gwynne",https://image.tmdb.org/t/p/w500/qigf5fWSH1tw7z424UVKg71UIOS.jpg
tt0087968,Racing with the Moon,1984,"Comedy,Drama,Romance",6.6,5441.0,"Sean Penn, Nicolas Cage, Nicolas Cage, John Karlen, Max Showalter, Crispin Glover, Bob Maroff, Dominic Nardini",https://image.tmdb.org/t/p/w500/vOITApisPEKYB4it1hRACHD6u1f.jpg
tt0090769,The Boy in Blue,1986,"Biography,Drama,Sport",5.3,1490.0,"Nicolas Cage, Christopher Plummer, David Naughton, Sean Sullivan, James B. Douglas, Walter Massey, Austin Willis, Philip Craig",https://image.tmdb.org/t/p/w500/5O3ULQhgZXNxqDLfEvUmGqdQYbY.jpg
tt0091738,Peggy Sue Got Married,1986,"Comedy,Drama,Fantasy",6.4,42454.0,"Nicolas Cage, Barry Miller, Kevin J. O'Connor, Jim Carrey, Wil Shriner",https://image.tmdb.org/t/p/w500/tfuQcvQmURiMqB2VPwytU3cPpEm.jpg
tt0093565,Moonstruck,1987,"Comedy,Drama,Romance",7.2,73461.0,"Nicolas Cage, Danny Aiello, Vincent Gardenia, John Mahoney, Louis Guss, Feodor Chaliapin Jr.",https://image.tmdb.org/t/p/w500/2mnVWpvsHEHHnfvLn1NXYVvBGl5.jpg
tt0093822,Raising Arizona,1987,"Comedy,Crime",7.3,155446.0,"Nicolas Cage, Trey Wilson, John Goodman, William Forsythe, Sam McMurray, Randall 'Tex' Cobb, T.J. Kuhn",https://image.tmdb.org/t/p/w500/m5Zp4K4hKdPhsBl3E0p8I7QomlT.jpg
tt0095722,Never on Tuesday,1988,"Comedy,Drama",4.5,2357.0,"Andy Lauer, Peter Berg, Dave Anderson, Mark Garbarino, Melvyn Pearls, Brett Seals, Nicolas Cage, Cary Elwes, Emilio Estevez",
tt0098577,Vampire's Kiss,1988,"Comedy,Crime,Fantasy",6.1,23099.0,"Nicolas Cage, Robert Lujan, Johnny Walker, Boris Lyoskin, Michael Knowles",https://image.tmdb.org/t/p/w500/bEwvlXvvrVLPFwCOND5E38qly01.jpg
tt0099575,Fire Birds,1990,"Action,Adventure",4.8,7472.0,"Nicolas Cage, Tommy Lee Jones, Bryan Kestner, Dale Dye, J.A. Preston, Peter Onorati, Charles Lanyer",https://image.tmdb.org/t/p/w500/ovFjMCmlA8Ox1ZYwVQVmWa9KbOp.jpg
tt0099844,Industrial Symphony No. 1: The Dream of the Brokenhearted,1990,"Drama,Fantasy,Music",7.0,2061.0,"Nicolas Cage, Félix Blaska, Michael J. Anderson, André Badalamenti, John Bell, Warick Bright",https://image.tmdb.org/t/p/w500/qtk7kHnVmTBTkaMaZmjBUJrOXfB.jpg
tt0100762,Time to Kill,1989,"Drama,War",5.0,1072.0,"Nicolas Cage, Ricky Tognazzi, Gianluca Favilla, Georges Claisse, Robert Liensol, Vittorio Amandola, Pao Pei Andreoli, Mario Mazzarotto, Michele Melega",https://image.tmdb.org/t/p/w500/qW4puiwBk1NseSJWi0YDbSGnPy2.jpg
tt0100935,Wild at Heart,1990,"Crime,Drama,Thriller",7.2,107089.0,"Nicolas Cage, Willem Dafoe, J.E. Freeman, Crispin Glover, Calvin Lockhart, Harry Dean Stanton",https://image.tmdb.org/t/p/w500/uLUFI5sJIfWrBUWB2Y1dEuyvvVy.jpg
tt0101004,Zandalee,1991,"Drama,Romance,Thriller",4.3,4365.0,"Nicolas Cage, Judge Reinhold, Joe Pantoliano, Aaron Neville, Steve Buscemi, Ian Abercrombie, Jo-El Sonnier",https://image.tmdb.org/t/p/w500/sW7nX30z07kmmstuI9S9s5ZSSAb.jpg
tt0104438,Honeymoon in Vegas,1992,"Comedy,Romance,Thriller",5.9,19744.0,"James Caan, Nicolas Cage, Pat Morita, Johnny Williams, John Capodice, Robert Costanzo, Peter Boyle, Burton Gilliam",https://image.tmdb.org/t/p/w500/qZPay0VF5Bq2PiUvC09WwM5blmj.jpg
tt0105226,Red Rock West,1993,"Crime,Drama,Thriller",7.0,26717.0,"Nicolas Cage, Dennis Hopper, Craig Reay, Vance Johnson, Robert Apel, Bobby Joe McFadden, J.T. Walsh, Dale Gibson, Ted Parks",https://image.tmdb.org/t/p/w500/ewofUEqU3Gpr7WSgSz3TEVPIfBg.jpg
tt0106266,Amos & Andrew,1993,"Comedy,Crime",5.7,10173.0,"Nicolas Cage, Samuel L. Jackson, Michael Lerner, Dabney Coleman, Brad Dourif, Chelcie Ross, I.M. Hobson, Jeff Blumenkrantz, Todd Weeks",https://image.tmdb.org/t/p/w500/IdhtO8iqvmyEJtcjThthZPOiaV.jpg
tt0106684,Deadfall,1993,"Crime,Drama",4.0,3997.0,"Michael Biehn, Nicolas Cage, James Coburn, James Coburn, Peter Fonda, Charlie Sheen, J. Kenneth Campbell, Michael Constantine, Marc Coppola",https://image.tmdb.org/t/p/w500/8S1lqwp1RR9z0V05QAVWTSbvtwC.jpg
